,time,open,high,low,close,tick_volume,spread,real_volume,typical_price,price_range,body,upper_wick,lower_wick,is_bullish,is_bearish
0,2025-01-27 01:00:00+00:00,2769.76,2769.81,2764.72,2767.27,3038,13,0,2767.2666666666664,5.0900000000001455,2.4900000000002365,0.04999999999972715,2.550000000000182,0,1
1,2025-01-27 02:00:00+00:00,2767.18,2770.94,2765.83,2769.68,2727,12,0,2768.816666666667,5.110000000000127,2.5,1.2600000000002183,1.349999999999909,1,0
2,2025-01-27 03:00:00+00:00,2769.79,2772.53,2762.88,2762.9,4729,12,0,2766.103333333333,9.650000000000091,6.889999999999873,2.7400000000002365,0.01999999999998181,0,1
3,2025-01-27 04:00:00+00:00,2762.9,2763.61,2754.1,2756.14,4437,5,0,2757.9500000000003,9.510000000000218,6.760000000000218,0.7100000000000364,2.0399999999999636,0,1
4,2025-01-27 05:00:00+00:00,2756.17,2762.62,2755.12,2761.08,3843,5,0,2759.6066666666666,7.5,4.9099999999998545,1.5399999999999636,1.050000000000182,1,0
5,2025-01-27 06:00:00+00:00,2761.06,2761.07,2755.74,2758.12,3129,12,0,2758.31,5.330000000000382,2.9400000000000546,0.010000000000218279,2.380000000000109,0,1
6,2025-01-27 07:00:00+00:00,2758.16,2758.16,2752.86,2753.27,3826,5,0,2754.763333333334,5.299999999999727,4.889999999999873,0.0,0.4099999999998545,0,1
7,2025-01-27 08:00:00+00:00,2753.18,2755.05,2750.73,2754.52,4231,9,0,2753.433333333334,4.320000000000164,1.3400000000001455,0.5300000000002001,2.449999999999818,1,0
8,2025-01-27 09:00:00+00:00,2754.57,2754.98,2747.32,2749.5,4334,5,0,2750.6,7.6599999999998545,5.070000000000164,0.4099999999998545,2.1799999999998363,0,1
9,2025-01-27 10:00:00+00:00,2749.69,2759.86,2749.39,2757.23,5067,12,0,2755.4933333333333,10.470000000000255,7.539999999999964,2.630000000000109,0.3000000000001819,1,0
10,2025-01-27 11:00:00+00:00,2756.65,2765.0,2755.76,2763.33,4732,7,0,2761.3633333333332,9.239999999999782,6.679999999999836,1.6700000000000728,0.8899999999998727,1,0
11,2025-01-27 12:00:00+00:00,2763.16,2771.04,2762.86,2768.17,4933,5,0,2767.3566666666666,8.179999999999836,5.010000000000218,2.869999999999891,0.29999999999972715,1,0
12,2025-01-27 13:00:00+00:00,2767.88,2771.88,2764.94,2771.16,4867,8,0,2769.3266666666664,6.940000000000055,3.2799999999997453,0.7200000000002547,2.9400000000000546,1,0
13,2025-01-27 14:00:00+00:00,2771.35,2771.52,2760.44,2761.22,4673,5,0,2764.3933333333334,11.079999999999927,10.13000000000011,0.17000000000007276,0.7799999999997453,0,1
14,2025-01-27 15:00:00+00:00,2761.05,2762.48,2752.28,2757.41,5474,6,0,2757.39,10.199999999999818,3.6400000000003274,1.4299999999998363,5.129999999999654,0,1
15,2025-01-27 16:00:00+00:00,2757.19,2757.99,2744.95,2750.79,5684,9,0,2751.2433333333333,13.039999999999964,6.400000000000091,0.7999999999997272,5.8400000000001455,0,1
